Id,SalePrice
1461,125537.9063308239
1462,206789.28815424442
1463,183616.55860990286
1464,216349.08596873283
1465,209698.78390580416
1466,192853.74916791916
1467,174550.7420912385
1468,196623.78488779068
1469,203832.83649533987
1470,141154.0611937642
1471,204033.09657275677
1472,150839.23213928938
1473,125547.53143340349
1474,186418.32188665867
1475,139403.94499450922
1476,291892.32055842876
1477,202146.81253433228
1478,299658.3512067795
1479,271453.98930311203
1480,357361.4528000355
1481,253230.3759098053
1482,208088.07610422373
1483,166242.91581362486
1484,198990.83046019077
1485,242781.59203231335
1486,227110.70177555084
1487,278145.8284586668
1488,200539.01265114546
1489,184844.42983418703
1490,236744.79636847973
1491,235794.56160366535
1492,110818.43653991818
1493,187991.0657942295
1494,238693.23045611382
1495,246867.7860826254
1496,225626.09676718712
1497,200472.5704714656
1498,240679.32798862457
1499,235800.82811415195
1500,234225.3157824278
1501,249399.52070116997
1502,201028.26187312603
1503,269597.4711894989
1504,291547.8341668844
1505,245617.6816225052
1506,172410.21370440722
1507,235391.01549685
1508,146960.7772037387
1509,185119.27640885115
1510,166105.33157140017
1511,149046.96721881628
1512,194975.56386590004
1513,156777.7272850275
1514,164927.31344252825
1515,137647.41206020117
1516,137313.81694972515
1517,151506.86230361462
1518,125958.99652093649
1519,225211.58426702023
1520,149527.8145954013
1521,137206.15958720446
1522,178882.5854986906
1523,125573.86365383863
1524,112818.75175461173
1525,135814.4792035222
1526,157048.00274074078
1527,80754.74517717957
1528,156303.30737382174
1529,147017.96984225512
1530,178700.52405446768
1531,102803.77350375056
1532,136799.63044971228
1533,141044.06462013721
1534,93785.12213379145
1535,136123.019002378
1536,121987.0106972754
1537,89591.4531365037
1538,164378.43579798937
1539,136080.58056235313
1540,142776.51870250702
1541,114240.54679870605
1542,121874.35300275683
1543,151789.32740986347
1544,140929.5291185379
1545,135095.364934206
1546,100602.90312767029
1547,132173.0142518878
1548,143161.597917974
1549,112250.26443898678
1550,98809.68320816755
1551,135679.9960255623
1552,146503.4077808261
1553,166056.34763240814
1554,97880.2706412971
1555,152688.28194588423
1556,180309.15017277002
1557,132960.97429394722
1558,124263.28844055533
1559,191380.57195693254
1560,146551.8659338355
1561,154711.16303652525
1562,164120.27488052845
1563,133249.27669763565
